query,positive,label
Implementation specification,standard,0
Implementation specification,procedure,0
Implementation specification,contract,0
Implementation specification,requirements,0
Implementation specification,guidelines,0
Implementation specification,manual,0
Implementation specification,protocol,0
Implementation specification,plan,0
Implementation specification,policy,0
Implementation specification,regulation,0
Implementation specification,agreement,0
Implementation specification,procedures,0
Implementation specification,instructions,0
Implementation specification,directive,0
Protected health information,medical records management,1
Protected health information,HIPAA regulations,1
Protected health information,electronic health information,1
Protected health information,healthcare,1
Protected health information,electronic health records,1
Protected health information,health information management,1
Protected health information,electronic health record management,1
Protected health information,medical records management system,1
Protected health information,personal data,1
Protected health information,health information management system,1
Protected health information,data protection,1
Protected health information,medical records,1
Protected health information,HIPAA guidelines,1
Protected health information,HIPAA,1
Health care clearinghouse,healthcare standardization,2
Health care clearinghouse,network,2
Health care clearinghouse,data,2
Health care clearinghouse,healthcare transfer,2
Health care clearinghouse,healthcare,2
Health care clearinghouse,healthcare data management,2
Health care clearinghouse,healthcare professional,2
Health care clearinghouse,system,2
Health care clearinghouse,entity,2
Health care clearinghouse,transferring,2
Health care clearinghouse,healthcare formatting,2
Health care clearinghouse,data exchange,2
Health care clearinghouse,medical,2
Health care clearinghouse,processing,2
Health care clearinghouse,healthcare facility,2
Health care clearinghouse,transaction,2
Health care clearinghouse,receiving,2
Health care clearinghouse,healthcare provider,2
Health care clearinghouse,healthcare management,2
Health care clearinghouse,format,2
Health care clearinghouse,healthcare sending,2
Health care clearinghouse,electronic,2
Health care clearinghouse,standardization,2
Health care clearinghouse,insurance,2
Health care clearinghouse,switch,2
Health care clearinghouse,medical records,2
Health care clearinghouse,billing,2
Business associate,health information organization,3
Business associate,e-prescribing gateway,3
Business associate,protected health information,3
Business associate,healthcare contract,3
Business associate,routine access,3
Business associate,data transmission services,3
Business associate,regulatory compliance,3
Business associate,data breach,3
Business associate,healthcare data security,3
Business associate,health information management,3
Business associate,healthcare regulations,3
Business associate,business partnership,3
Business associate,healthcare data protection,3
Business associate,healthcare organization,3
Business associate,data sharing,3
Business associate,personal health record,3
Business associate,healthcare provider,3
Business associate,health data,3
Business associate,healthcare industry,3
Business associate,electronic protected health information,3
Business associate,electronic health record,3
Business associate,HIPAA,3
Business associate,data protection,3
Business associate,subcontractor,3
Business associate,covered entity,3
Business associate,patient confidentiality,3
Business associate,healthcare compliance,3
Business associate,healthcare law,3
Covered entity,Healthcare,4
Covered entity,Healthcare Security,4
Covered entity,Electronic Health Information,4
Covered entity,Medical Billing,4
Covered entity,Healthcare Governance,4
Covered entity,Healthcare Compliance,4
Covered entity,Insurance,4
Covered entity,Healthcare Administration,4
Covered entity,Healthcare Compliance Officers,4
Covered entity,Health Plan,4
Covered entity,Medical Records,4
Covered entity,Electronic Health Record Systems,4
Covered entity,Healthcare Clearinghouse,4
Covered entity,Medical Records Management,4
Covered entity,Medical Billing Services,4
Covered entity,Patient Data,4
Covered entity,Health Information,4
Covered entity,Electronic Health Records,4
Covered entity,Data Protection,4
Covered entity,Electronic Transactions Network,4
Covered entity,Health Information Management,4
Covered entity,Health Information Exchange,4
Covered entity,Healthcare Provider,4
Covered entity,Electronic Transactions,4
Covered entity,Healthcare IT,4
Covered entity,Data Privacy,4
Covered entity,HIPAA,4
Use,medical information,5
Use,employment,5
Use,data,5
Use,healthcare trends,5
Use,patient consent,5
Use,healthcare,5
Use,analysis,5
Use,entity,5
Use,hospital,5
Use,information,5
Use,data security,5
Use,healthcare regulations,5
Use,application,5
Use,clinic,5
Use,medical,5
Use,data sharing,5
Use,healthcare provider,5
Use,healthcare management,5
Use,information management,5
Use,health data,5
Use,patient,5
Use,nurse,5
Use,healthcare privacy,5
Use,doctor,5
Use,data protection,5
Use,data analysis,5
Use,organization,5
Use,sharing,5
Use,medical records,5
Use,medical research,5
Use,patient rights,5
Use,healthcare compliance,5
Use,HIPAA,5
Disclosure,provide,6
Disclosure,releasement,6
Disclosure,revealable,6
Disclosure,transfer,6
Disclosure,information,6
Disclosure,provision,6
Disclosure,transferable,6
Disclosure,releasing,6
Disclosure,releaseable,6
Disclosure,provisional,6
Disclosure,openness,6
Disclosure,access,6
